,제목,채널,조회수,시간,부제목,링크
27,Son's stunner claims opening day DELIGHT against City | Highlights | Spurs 1-0 Man City,Tottenham Hotspur,67만회,11시간 전,Check out the highlights from Tottenham Hotspur's opening day victory over Manchester City. SUBSCRIBE to ensure you don’t miss a video from the Spurs YouTube channel. Hit the bell to get...,https://www.youtube.com/watch?v=exwCSLlZLfM
28,"[나 혼자 산다] 코트에선 황제여도 집에서는 장꾸 막내딸ㅋㅋ 배구만 1등인 줄 알았지 귀여움도 1등일 줄이야,,,ㅣ#김연경 #엠뚜루마뚜루 MBC170106방송",엠뚜루마뚜루 : MBC 공식 종합 채널,522만회,5일 전,[나 혼자 산다] 금요일 밤 11시 10분 방송! MBC의 따끈따끈한 영상을 내 맘대로 편하게 즐기는 채널🌀 엠뚜루마뚜루 구독하기👉https://www.youtube.com/c/엠...,https://www.youtube.com/watch?v=95MGvHIGQP4
29,오징어 게임 | 티저 예고편 | 넷플릭스,Netflix Korea 넷플릭스 코리아,22만회,8시간 전,"넷플릭스 《오징어 게임》 ""이건 게임일 뿐입니다"" 참가자 456명, 총 상금 456억원. 목숨을 건 의문의 서바이벌 골목놀이. 《오징어 게임》 9월 17일...",https://www.youtube.com/watch?v=lFMobna17QU
30,다 넣고 40만원 저렴해 진 갤럭시 Z 폴드3 둘러보기 [4K],UNDERkg,21만회,1일 전,"- 자세한 사진은 https://bit.ly/3k1KkeS - 방수, S펜, 심지어 언더 디스플레이 카메라(UDC)까지 넣고도 전작보다 40만원 가까이 저렴해 진 갤럭시 Z 폴드3,...",https://www.youtube.com/watch?v=-ScD714niDk
31,5주년 축하해요 시즈니👋🏻💚ㅣBeyond LIVE - NCT 127 ONLINE FANMEETING 'OFFICE : Foundation Day' Behind,NCT 127,37만회,19시간 전,#NCT127 #NCT #5th_anniversary_NCT127 #NCT127_ONLINE_FANMEETING #OFFICE_Foundation_Day NCT Official http://www.youtube.com/nctsmtown http://www.instagram.com/nct http://www.tiktok.com/@official_nc...,https://www.youtube.com/watch?v=-pempkM-UOY
32,[4K 세로직캠] 임영웅 - 붉은 입술 💙사랑의 콜센타 66화💙무편집 초고화질 세로직캠,미스&미스터트롯 공식계정,65만회,3일 전,오직 【미스&미스터트롯】 공식계정에서만 볼 수 있는 4K 세로직캠 구독과 좋아요는 사랑입니다…♥ #미스터트롯 #미스트롯 #미스트롯2 #사랑의콜센...,https://www.youtube.com/watch?v=ipGCwhywgnU
33,[분데스리가] 도르트문트 VS 프랑크푸르트 - H/LㅣBundesliga 2021-2022 1R,tvN SPORTS,14만회,1일 전,⚽ Bundesliga 2021-2022 ⚽ 도르트문트 VS 프랑크푸르트 - 1R H/L ---------------------------------------------------------------------------------------------------- ✅ Bundesliga...,https://www.youtube.com/watch?v=2zxGGMOeeVU
34,"설탕,간장,식초, 절대 넣지마세요 딱 이것만 넣고 1년넘게 보관하는 방법",주부나라,40만회,2일 전,"저염식 깻잎 장아찌 담아서 찜,김치 다양하게 가능해요 깻잎500장 소금1컵반 소주1컵반 실온에3주두었다가 냉장고넣은후 씻어서 각종요리해서...",https://www.youtube.com/watch?v=9DisNl2rUFQ
35,TXT (투모로우바이투게더) 'LO$ER=LO♡ER' Official Teaser,HYBE LABELS,199만회,17시간 전,"TXT (투모로우바이투게더) 'LO$ER=LO♡ER' Official Teaser Credits: Director: Guzza (Lumpens) 1st AD: Soeyoung Park 2nd AD: Ran Ro (Lumpens) PA: Kookki Kim, Seongyeol Park, Chanyang...",https://www.youtube.com/watch?v=DWR4OJavJ3o
36,처음 공개하는 남자친구와 100일 데이트 브이로그 👫🏻💕 케이크도 만들고 깜짝 이벤트까지 ◍˃̵ᗜ˂̵◍ | 유정 YUJEONG,유정 YUJEONG,33만회,2일 전,+ INSTAGRAM @jeongvelly👈🏻SNS에서 더 자주 만나요!◡̈ ♡+ BUSINESS CONTACT o_o__only@daum.net *이 영상은 광고를 포함하지 않습니다.* 🎧 BGM https://youtu....,https://www.youtube.com/watch?v=0V7QU7nXKfE
37,"오사카 근교 핫플🎡 아와지섬에서의 1박2일 vlog | 짱구 테마파크 | 일본 휴게소 먹방🧅ㅣ멸치 피자, 양파라멘, 양파 햄버거 등 맛있는 건 다 뿌신 브이로그🍕",토모토모TomoTomo,44만회,1일 전,* 이번 영상은 #에스쁘아 의 유료광고를 포함합니다 * 💄에스쁘아 틴트 구매 링크 💄 꾸뛰르 립 틴트 벨벳 https://bit.ly/2VTbY4Y 꾸뛰르 립 틴트 샤인...,https://www.youtube.com/watch?v=v0GF-6fitko
38,"DNA Remix - 박재범, YLN Foreign, D.Ark, 365LIT, pH-1, 릴보이, 이영지, Ourealgoat, Choo, OSUN (Official Video)",H1GHR MUSIC,27만회,20시간 전,"▶ Download/Streaming: https://smarturl.it/DNA_Remix DNA Remix - 박재범, YLN Foreign, D.Ark, 365LIT, pH-1, 릴보이, 이영지, Ourealgoat, Choo, OSUN 대한민국의 광복절은 우리나...",https://www.youtube.com/watch?v=sP6y8aTE5NI
39,새끼 강아지들을 데려왔을 때 진돗개와 고양이 반응,진똑개 풍이,14만회,1일 전,💛🐶실시간 소식은 풍이 인스타그램 👇🏻 https://www.instagram.com/poong__e/ ✔️Poong ’s Instagram ID : @poong__e Music provided by 브금대통령 Track : 귀여운...,https://www.youtube.com/watch?v=WYpfty-2u34
40,샴푸 전품목 할인 가보자고 [네고왕3] Ep.2,달라스튜디오,61만회,2일 전,7:09 무한확장.. 샴푸왕 세계관의 끝은..🪐 네고왕이 해온 두 번째 네고 = 샴푸🧴 1. 방송일 기준 7일간 (8/13 오후 6시 30분 ~ 8/19일 오후 11시 59분...,https://www.youtube.com/watch?v=HkMK0l2IJiQ
41,"HIGHLIGHTS | Brentford vs Arsenal (2-0) | Canos, Norgaard",Arsenal,152만회,2일 전,"Goals from Sergi Canos and Christian Norgaard consigned Arsenal to an opening-night Premier League defeat at newly-promoted Brentford on Friday. Roared on by a raucous crowd, the hosts took...",https://www.youtube.com/watch?v=RJxHDEC-jAk
42,고딩 수포자 카톡방에 숨은 수학쌤 찾기(feat.이투스 고정민),Pixid,88만회,3일 전,"""얜 고등학생인데 얼굴이 왜 이렇게ㅅ.....왜 ㅅ....."" #수포자 #고정민 *본 영상은 유료광고를 포함하고 있습니다. 콘텐츠 문의: pixid@versework.co.kr",https://www.youtube.com/watch?v=_MUXpcxktDg
43,싱크대정리 끝장내기 상부장편ㅣ주방정리 수납용품추천 ㅣ28년차 주부의 찐 살림템,"그림처럼_살림,일상vlog",18만회,2일 전,🌸하부장 싱크대 정리편에 이어 상부장 정리 끝장내기 영상이예요 딱 한 번만 하면 쭉 유지되는 방법들이니 함께 정리해요 🌸영상속 묶음배송...,https://www.youtube.com/watch?v=dj1pjAWAhzs
44,(ENG) 한 마디 시키면 두 마디씩 얹는 레드벨벳ㅋㅋㅋㅋㅋ다들 조금씩 은은하게 광기가 서려있어서 정말 재미지네요? / [문명특급 EP.204-2],문명특급 - MMTG,124만회,3일 전,"슬기 여친짤, 연말 조이, 아이린 레전드 직찍, 예리 아리아나 그란데 맞팔, 웬디 단발컷... 와 많다 많아 레드벨벳 토크 거리! 레전드 수다 파티...",https://www.youtube.com/watch?v=esm6aAz6eF0
45,우리 엄마가 제일 좋아하는 양파요리 중 하나에요😄 굽자마자 동이나는 아삭아삭 양파전,소소황 Cook & Eat,36만회,2일 전,혈관건강에 좋은 양파와 간단한 재료로 만드는 아삭하고 달큰한 맛있는 양파전 레시피. #양파전#양파요리#간단요리 계량은 계량 스푼과 계량...,https://www.youtube.com/watch?v=QOQ9XTEFKuQ
46,치맥을 처음 먹어본 영국 축구선수들의 반응?!,영국남자 Korean Englishman,251만회,4일 전,작년에 영국 축구팀에게 한국 바베큐를 소개 했었는데요. 이번엔 축구하면 떠오르는 한국 치킨을 소개 하고 싶었어요. 런던에서 저희가 가장 좋아하...,https://www.youtube.com/watch?v=CKlXdPx26SY
47,선넘는 초딩들🤦‍♂️ 2021년 8월 네번째 블랙박스 모음.zip [몇대몇?블랙박스],몇대몇?블랙박스,19만회,1일 전,인중때려벌라 *제보 mbox9911@gmail.com *제보 양식 참고 ↓↓↓↓↓↓↓ https://www.youtube.com/post/UgyeNVXL7jbqusffl-Z4AaABCQ *일러스트 작가 : 깐순이 님 (ㄲㅅㅇ)...,https://www.youtube.com/watch?v=Ea154IZrRW4
48,[분데스리가] 묀헨글라트바흐 VS 바이에른 뮌헨 - H/L ㅣ Bundesliga 2021-2022 1R,tvN SPORTS,28만회,2일 전,⚽ Bundesliga 2021-2022 ⚽ 묀헨글라트바흐 VS 바이에른 뮌헨 - 1R H/L ---------------------------------------------------------------------------------------------------- ✅...,https://www.youtube.com/watch?v=nKPpUTcebfw
49,"갤럭시Z 플립3 후기, 달라진 점 중심으로~ 커버 디스플레이 삼성페이 가능! [4K]",이퓨,7.9만회,1일 전,"다음 영상에서는 갤럭시Z 폴드3 후기, 배터리 테스트, 사용 팁을 소개해드리도록 하겠습니다. 이퓨 유튜브 구독하기 : https://goo.gl/n934rz 글로벌...",https://www.youtube.com/watch?v=ND5sQAPdZ9o
